epoch,lr,train_loss,val_loss,train_mean_iou,val_mean_iou,train_pixel_accuracy,val_pixel_accuracy
1,0.000159869528314,2.246059248427383,1.9661498609578836,0.3649040471595978,0.4876861145722765,0.7056226329643185,0.8035052892666589
2,0.0001594785388278,1.9346903011578471,1.7904650730157048,0.4636160519569102,0.5361892667707037,0.7667481795269377,0.8252995019862134
3,0.0001588283068678,1.831188659874999,1.772360826438328,0.493868998682047,0.5241300335222452,0.7857266907312241,0.8220058685788838
4,0.0001579209533553,1.784245086066863,1.7701495660925812,0.5081167396254538,0.5579322676858594,0.7923472626965825,0.8389659337636796
5,0.0001567594378891,1.7433179139423105,1.696198859304752,0.5237743640684716,0.5538574538126799,0.8026661378662793,0.835139327024185
6,0.0001553475490911,1.7129114534841532,1.6785740852355957,0.5320977500285294,0.5645553278747781,0.8067977877796626,0.8417485797114149
7,0.0001536898922491,1.697719895956563,1.677654301595388,0.5377433527500864,0.5901252227336348,0.8054333717740025,0.8437440182361646
8,0.0001517918742953,1.6707670248690103,1.6558842823940254,0.5461736364444054,0.5881148894752529,0.8119062406151425,0.8484328265568407
9,0.0001496596861695,1.6641225014247147,1.6460813651294828,0.5499886324544647,0.5938479903182035,0.8125961016730912,0.8474096467655878
10,0.0001473002826264,1.651124053976449,1.632565881471214,0.5519826834024812,0.5689045222700909,0.8147931284024841,0.8440875163083693
11,0.0001447213595499,1.6287665602539767,1.6327020327250164,0.5601629854013981,0.584427435882699,0.8168900838228358,0.8499091477781673
12,0.0001419313288511,1.625519034074468,1.6440994289686095,0.560536957280987,0.5667433199236741,0.8190807779105295,0.8452295402987109
13,0.0001389392910301,1.6251903592872352,1.624026876575542,0.5598616390126991,0.5881493759910763,0.815864042455361,0.8477056923511314
14,0.0001357550054924,1.6057244410701828,1.6185149006873556,0.5658031158706807,0.5887626019023628,0.8217516498787015,0.8424948336546325
15,0.0001323888587156,1.6016959193206968,1.6122027050774053,0.5684099228920307,0.5872578502900084,0.8230562343650839,0.8520634346886319
16,0.0001288518303708,1.585954885773298,1.631573129749898,0.5726217687732992,0.6128915058322769,0.8240008924712463,0.8531258215036803
17,0.0001251554575093,1.58434190169102,1.6021481917339302,0.5737897324999615,0.6000039714075073,0.8239843521942468,0.8562352981267282
18,0.0001213117969311,1.5774045305258753,1.5901651427430927,0.5756541447648565,0.6138232603837268,0.8238360613715701,0.8554364740331815
19,0.000117333385858,1.571467426477694,1.596863219573063,0.5786873156432628,0.6115130570010561,0.8276988354240622,0.8503904089749581
20,0.0001132332010401,1.5705292014514698,1.599650409236644,0.5774425597403733,0.5958525378730755,0.8267243703206381,0.8520257733087978
21,0.000109024616428,1.5547413555513911,1.594810648534283,0.5820014244190176,0.6179623694160944,0.8277958094859037,0.8562092169061807
22,0.0001047213595499,1.5615276198427217,1.587649403128234,0.5796422569142649,0.6043017536843293,0.8279176645633839,0.8544960044495074
23,0.0001003374667354,1.5460763848295398,1.5888958479623374,0.5848630698558819,0.6012665720813346,0.829538293436271,0.8526933150290142
24,9.588723733165964e-05,1.5492829786462277,1.579670510202084,0.5835784764358578,0.5984047151726448,0.8268131975080071,0.8532630795556334
25,9.13851870618628e-05,1.5435886160165322,1.5819029560628928,0.5876362623259966,0.5986776232867229,0.8305940372364766,0.8528936828192546
26,8.684600067830717e-05,1.5388603219632009,1.583167516210544,0.5887089985722037,0.5924199626458908,0.8299384367089121,0.8504007234100557
27,8.228448406349571e-05,1.5288412742087154,1.5722596480411553,0.5940620160082153,0.6072966873498028,0.8324146224957268,0.8547563480936247
28,7.77155159365043e-05,1.5322239589290458,1.5733781093321506,0.5919286394701444,0.6183350927384158,0.8311278597742808,0.8589458647330296
