class_name,iou
Trees,0.8723894691259572
Lush Bushes,0.7167958962634238
Dry Grass,0.7000927742435633
Dry Bushes,0.4904789024745413
Ground Clutter,0.4083111156215727
Flowers,0.675384130608517
Logs,0.467583057687907
Rocks,0.5140128784022449
Landscape,0.6499896533469857
Sky,0.9807494730402586
