name,original_height,original_width,mean_iou,pixel_accuracy,matched_pixels,total_valid_pixels,iou_trees,iou_lush_bushes,iou_dry_grass,iou_dry_bushes,iou_ground_clutter,iou_flowers,iou_logs,iou_rocks,iou_landscape,iou_sky
0000060.png,540,960,0.3312019889808126,0.6368827160493827,330160,518400,0.4656674799581736,0.005070993914807302,0.4513790550578602,0.45807133421400265,0.0,0.0,,0.06090878592462817,0.5613915874521166,0.9783286643057244
0000061.png,540,960,0.32647831939290445,0.6274498456790123,325270,518400,0.4684192557186753,0.006097560975609756,0.4399800704651411,0.43219299441188497,0.0,0.0,,0.05948927330682999,0.5539801620511974,0.978145557606802
0000062.png,540,960,0.32443762584578306,0.6118557098765433,317186,518400,0.48193947282785554,0.005583992554676594,0.4363077892415531,0.42404622382493956,0.0,0.0,,0.05271837429513778,0.5414020779459244,0.9779407019219599
0000063.png,540,960,0.3364282834681512,0.6061824845679012,314245,518400,0.48695652173913045,0.004529616724738676,0.4422946941534302,0.5303927206305179,0.0,0.0,,0.04992522719429426,0.5373257473556612,0.976430023415588
0000064.png,540,960,0.3323922404954082,0.6107098765432099,316592,518400,0.45911004209260375,0.0038289725590299937,0.44087836815703646,0.4988516502211637,0.0,0.0,,0.054378378378378375,0.5574437116898122,0.9770390413606495
0000065.png,540,960,0.3285896532901205,0.6059452160493827,314122,518400,0.5202360876897133,0.004085205719288007,0.4427905986947886,0.39937053419530455,0.0,0.0,,0.05319822115976165,0.5620993709191735,0.9755268612330549
0000066.png,540,960,0.3252919117417842,0.6184510030864198,320605,518400,0.4884244372990354,0.006000705965407695,0.45596277901467147,0.35527369826435246,0.0,0.0,,0.06021084471331346,0.5877310975749562,0.9740236428443214
0000067.png,540,960,0.3120770610724634,0.6200829475308642,321451,518400,0.48854232972628897,0.0004201680672268908,0.4559760169266817,0.2582328594565413,0.0,0.0,,0.06315750855277036,0.5687358538174451,0.9736288131052169
0000068.png,540,960,0.31207123333775405,0.6339679783950617,328649,518400,0.48376121249613363,0.0,0.4372240170239954,0.2671333224808725,0.0,0.0,,0.06922633626278635,0.5783509672572466,0.9729452445187521
0000069.png,540,960,0.3019603799480155,0.6301099537037037,326649,518400,0.4367422245651028,0.00027129679869777537,0.43376721237019755,0.2287765293383271,0.0,0.0,,0.07223946422737668,0.5732351712228726,0.9726115210095653
0000070.png,540,960,0.3037905892927354,0.6334837962962963,328398,518400,0.41729323308270677,0.0,0.44175417371117764,0.2460280006292276,0.0,0.0,,0.07452341441696685,0.5851979476592386,0.969318534135301
0000071.png,540,960,0.30058396023754147,0.627824074074074,325464,518400,0.3946360153256705,0.0,0.4333008977509497,0.2611218568665377,0.0,0.0,,0.072131052141527,0.5747318654698347,0.9693339545833538
0000072.png,540,960,0.3087855935081008,0.6363908179012345,329905,518400,0.3822638391627651,0.0,0.43278630145116775,0.30632176323083016,0.0,0.0,,0.08387251857935538,0.604386025951386,0.9694398931974028
0000073.png,540,960,0.3160751043232521,0.6545003858024692,339293,518400,0.38088755785461476,0.00034578146611341634,0.44590340745199847,0.30797575181267084,0.0,0.0,,0.09121654059936202,0.6487516951601787,0.9695952045643303
0000074.png,540,960,0.31508128747101655,0.65765625,340929,518400,0.3554119547657512,0.0,0.43869357415674093,0.30952647486846524,0.0,0.0,,0.09585307560065412,0.6667153045032557,0.9695312033442819
0000075.png,540,960,0.30722714025571246,0.6650405092592593,344757,518400,0.29267202859696156,0.0,0.4343092146728854,0.2773096250483185,0.0,0.0,,0.09981412060353691,0.6901916853373165,0.9707475880423935
0000076.png,540,960,0.30430374525998,0.6580767746913581,341147,518400,0.2988826815642458,0.0008310249307479224,0.42634363438131156,0.23557031607879064,0.0,0.0,,0.10290441960047277,0.7020343268029091,0.9721673039813422
0000077.png,540,960,0.3033257628075158,0.6548553240740741,339477,518400,0.31825795644891125,0.00032605151613955004,0.4379624253095323,0.18743746020194668,0.0,0.0,,0.1063374547933274,0.7058300003995888,0.9737805165981962
0000078.png,540,960,0.3188606942213382,0.6674266975308641,345994,518400,0.31745182012847967,0.0,0.448049145554219,0.30239385727190604,0.0,0.0,,0.11565412613102932,0.7121179954589452,0.9740793034474644
0000079.png,540,960,0.3219351618330568,0.679735725308642,352375,518400,0.312565445026178,0.0,0.44822467332953586,0.2984117589030285,0.0,0.0,,0.13368640334967405,0.7292756506365693,0.9752525252525253
0000080.png,540,960,0.31868792575261434,0.6728452932098765,348803,518400,0.37910284463894967,0.0,0.4394159351789331,0.21159293963826542,0.0,0.0,,0.14066103789126852,0.7218353943813561,0.9755831800447563
0000081.png,540,960,0.3114951534542698,0.6539081790123457,338986,518400,0.35247629083245524,0.00022857142857142857,0.43215869742016083,0.19952908345687626,0.0,0.0,,0.14519264842500454,0.6973835823640465,0.9764875071613137
0000082.png,540,960,0.3160139193528769,0.6332638888888888,328284,518400,0.36507042253521127,0.0,0.4260892809409249,0.2602996254681648,0.0,0.0,,0.1484108041279599,0.6673478381255825,0.9769073029780492
0000083.png,540,960,0.3091080974590196,0.6230787037037037,323004,518400,0.36030617823947514,0.0,0.4097531041298076,0.23769070735090153,0.0,0.0,,0.14768865861454092,0.6493609227651781,0.9771733060312733
0000084.png,540,960,0.31185555324901526,0.6271547067901234,325117,518400,0.3853035143769968,0.0002063557573256294,0.40915422289454373,0.21976251060220525,0.0,0.0,,0.1666205044273784,0.6464743234469763,0.9791785477357107
0000085.png,540,960,0.3167427841942937,0.6276466049382716,325372,518400,0.39373040752351096,0.000196078431372549,0.4067826086956522,0.26347897774113765,0.0,0.0,,0.18231719599811994,0.6251329048639213,0.9790468844949283
0000086.png,540,960,0.3179531018168686,0.6261014660493828,324571,518400,0.3404614518851998,0.0004563084645220169,0.408759730150493,0.3356799734967699,0.0,0.0,,0.18436289449992152,0.613838676637495,0.9780188812174158
0000087.png,540,960,0.310668552078389,0.6232040895061728,323069,518400,0.3198757763975155,0.0,0.4179182768282804,0.2814257210230365,0.0,0.0,,0.19142185948511783,0.6071380820607981,0.9782372529107527
0000088.png,540,960,0.3203514490488209,0.6166936728395062,319694,518400,0.38244321669736037,0.00018677624206200972,0.42286449068244353,0.3072916666666667,0.0,0.0,,0.2037170779679769,0.5880190364838495,0.9786407766990292
0000089.png,540,960,0.32268833785098033,0.6232156635802469,323075,518400,0.35034013605442177,0.0,0.4245842723205193,0.3381758856432567,0.0,0.0,,0.23063907429355623,0.5819066870178623,0.978548985329207
0000090.png,540,960,0.30115706801671205,0.6352141203703704,329295,518400,0.40471512770137524,0.0,0.41604224289665576,0.3559663382003884,0.0,0.0,0.0,0.25636386035696135,0.599544402661267,0.978938708350473
0000091.png,540,960,0.3432143273972903,0.6512673611111112,337617,518400,0.4081769436997319,0.0,0.42779028151865106,0.36578826914274504,0.0,0.0,,0.29316987470911865,0.6153774274802958,0.9786261500250703
0000092.png,540,960,0.35219547401929713,0.6717013888888889,348210,518400,0.4093567251461988,0.00042707666026051675,0.434931432812804,0.36906429026098025,0.0,0.0,,0.36084655239859176,0.6160699044909571,0.979063284403882
0000093.png,540,960,0.35819896079762276,0.6842959104938272,354739,518400,0.41324503311258276,0.0,0.43556449510187356,0.3714700368869807,0.0,0.0,,0.40473675562753797,0.6190164972558698,0.9797578291937596
